combination,total
stable,10000
sticky,7328.6
random,1015.6
alwaysnew,167.2
bandwagon,5287.4
safe,9662.4
frost,140.4
highroller,348.8
opportunistic,1139.4
stable_sticky,10481.0
stable_random,7275.8
stable_alwaysnew,5953.2
stable_bandwagon,9993.4
stable_safe,9963.0
stable_frost,7067.0
stable_highroller,5231.6
stable_opportunistic,6989.4
sticky_random,4684.2
sticky_alwaysnew,3653.0
sticky_bandwagon,8500.8
sticky_safe,11184.0
sticky_frost,5732.2
sticky_highroller,4714.0
sticky_opportunistic,5751.8
random_alwaysnew,805.0
random_bandwagon,3414.0
random_safe,7154.0
random_frost,2351.2
random_highroller,1355.8
random_opportunistic,2416.6
alwaysnew_bandwagon,1766.2
safe_alwaysnew,5941.6
alwaysnew_frost,1610.8
alwaysnew_highroller,379.0
alwaysnew_opportunistic,1664.4
safe_bandwagon,8414.0
frost_bandwagon,2295.0
highroller_bandwagon,2006.6
bandwagon_opportunistic,2119.4
safe_frost,2014.6
safe_highroller,3325.2
safe_opportunistic,3005.0
frost_highroller,4526.0
frost_opportunistic,3965.6
highroller_opportunistic,1806.8
stable_sticky_random,7459.8
stable_sticky_alwaysnew,6641.0
stable_sticky_bandwagon,12062.4
stable_sticky_safe,11616.6
stable_sticky_frost,7653.0
stable_sticky_highroller,7762.8
stable_sticky_opportunistic,8644.6
stable_random_alwaysnew,4602.2
stable_random_bandwagon,9891.8
stable_random_safe,9459.2
stable_random_frost,6123.6
stable_random_highroller,5318.2
stable_random_opportunistic,6116.4
stable_alwaysnew_bandwagon,8240.6
stable_safe_alwaysnew,8653.6
stable_alwaysnew_frost,5695.4
stable_alwaysnew_highroller,4596.8
stable_alwaysnew_opportunistic,5639.0
stable_safe_bandwagon,10007.2
stable_frost_bandwagon,8420.0
stable_highroller_bandwagon,6982.0
stable_bandwagon_opportunistic,8505.2
stable_safe_frost,8411.4
stable_safe_highroller,6971.6
stable_safe_opportunistic,8659.8
stable_frost_highroller,4859.0
stable_frost_opportunistic,7075.2
stable_highroller_opportunistic,5380.8
sticky_random_alwaysnew,3002.8
sticky_random_bandwagon,4757.0
sticky_random_safe,7650.4
sticky_random_frost,3947.6
sticky_random_highroller,3174.6
sticky_random_opportunistic,4108.4
sticky_alwaysnew_bandwagon,4027.6
sticky_safe_alwaysnew,6513.8
sticky_alwaysnew_frost,3786.0
sticky_alwaysnew_highroller,2895.0
sticky_alwaysnew_opportunistic,3840.8
sticky_safe_bandwagon,10376.0
sticky_frost_bandwagon,5257.2
sticky_highroller_bandwagon,6496.4
sticky_bandwagon_opportunistic,5307.4
sticky_safe_frost,8366.4
sticky_safe_highroller,6502.0
sticky_safe_opportunistic,6530.2
sticky_frost_highroller,5983.0
sticky_frost_opportunistic,5201.0
sticky_highroller_opportunistic,4430.4
random_alwaysnew_bandwagon,1816.8
random_safe_alwaysnew,4312.8
random_alwaysnew_frost,1812.8
random_alwaysnew_highroller,706.0
random_alwaysnew_opportunistic,1517.6
random_safe_bandwagon,9185.0
random_frost_bandwagon,2842.8
random_highroller_bandwagon,2501.0
random_bandwagon_opportunistic,2726.0
random_safe_frost,3243.6
random_safe_highroller,4296.8
random_safe_opportunistic,4569.0
random_frost_highroller,3934.8
random_frost_opportunistic,3325.4
random_highroller_opportunistic,2315.2
safe_alwaysnew_bandwagon,7854.2
alwaysnew_frost_bandwagon,2260.6
alwaysnew_highroller_bandwagon,1765.0
alwaysnew_bandwagon_opportunistic,2255.6
safe_alwaysnew_frost,2475.8
safe_alwaysnew_highroller,3303.4
safe_alwaysnew_opportunistic,3282.2
alwaysnew_frost_highroller,3037.2
alwaysnew_frost_opportunistic,3085.8
alwaysnew_highroller_opportunistic,1665.8
safe_frost_bandwagon,7039.4
safe_highroller_bandwagon,6873.2
safe_bandwagon_opportunistic,7052.4
frost_highroller_bandwagon,3728.0
frost_bandwagon_opportunistic,4158.4
highroller_bandwagon_opportunistic,2176.8
safe_frost_highroller,3362.6
safe_frost_opportunistic,3218.0
safe_highroller_opportunistic,3158.2
frost_highroller_opportunistic,3371.2
stable_sticky_random_alwaysnew,5484.0
stable_sticky_random_bandwagon,8906.2
stable_sticky_random_safe,9072.6
stable_sticky_random_frost,5940.6
stable_sticky_random_highroller,6346.4
stable_sticky_random_opportunistic,6410.4
stable_sticky_alwaysnew_bandwagon,7965.0
stable_sticky_safe_alwaysnew,8551.4
stable_sticky_alwaysnew_frost,5868.8
stable_sticky_alwaysnew_highroller,5246.4
stable_sticky_alwaysnew_opportunistic,5774.8
stable_sticky_safe_bandwagon,11683.6
stable_sticky_frost_bandwagon,8881.6
stable_sticky_highroller_bandwagon,9322.2
stable_sticky_bandwagon_opportunistic,9687.6
stable_sticky_safe_frost,9432.6
stable_sticky_safe_highroller,8880.2
stable_sticky_safe_opportunistic,9755.8
stable_sticky_frost_highroller,6867.0
stable_sticky_frost_opportunistic,6574.8
stable_sticky_highroller_opportunistic,6962.2
stable_random_alwaysnew_bandwagon,6463.8
stable_random_safe_alwaysnew,6932.4
stable_random_alwaysnew_frost,4452.2
stable_random_alwaysnew_highroller,3548.4
stable_random_alwaysnew_opportunistic,4525.2
stable_random_safe_bandwagon,10445.2
stable_random_frost_bandwagon,7913.4
stable_random_highroller_bandwagon,7723.6
stable_random_bandwagon_opportunistic,8116.0
stable_random_safe_frost,8183.0
stable_random_safe_highroller,7586.2
stable_random_safe_opportunistic,8115.8
stable_random_frost_highroller,5095.0
stable_random_frost_opportunistic,5455.2
stable_random_highroller_opportunistic,5033.0
stable_safe_alwaysnew_bandwagon,10013.8
stable_alwaysnew_frost_bandwagon,7352.6
stable_alwaysnew_highroller_bandwagon,6687.4
stable_alwaysnew_bandwagon_opportunistic,5354.2
stable_safe_alwaysnew_frost,7517.6
stable_safe_alwaysnew_highroller,6503.8
stable_safe_alwaysnew_opportunistic,7762.0
stable_alwaysnew_frost_highroller,4491.6
stable_alwaysnew_frost_opportunistic,5266.6
stable_alwaysnew_highroller_opportunistic,4445.0
stable_safe_frost_bandwagon,9602.4
stable_safe_highroller_bandwagon,8179.2
stable_safe_bandwagon_opportunistic,9482.6
stable_frost_highroller_bandwagon,6039.6
stable_frost_bandwagon_opportunistic,5793.8
stable_highroller_bandwagon_opportunistic,4875.4
stable_safe_frost_highroller,6461.2
stable_safe_frost_opportunistic,8761.4
stable_safe_highroller_opportunistic,7000.6
stable_frost_highroller_opportunistic,5923.2
sticky_random_alwaysnew_bandwagon,3008.0
sticky_random_safe_alwaysnew,5145.8
sticky_random_alwaysnew_frost,2777.8
sticky_random_alwaysnew_highroller,2374.2
sticky_random_alwaysnew_opportunistic,3484.2
sticky_random_safe_bandwagon,8379.2
sticky_random_frost_bandwagon,4012.6
sticky_random_highroller_bandwagon,3982.2
sticky_random_bandwagon_opportunistic,4188.0
sticky_random_safe_frost,4473.6
sticky_random_safe_highroller,4998.0
sticky_random_safe_opportunistic,5262.8
sticky_random_frost_highroller,4337.6
sticky_random_frost_opportunistic,4048.2
sticky_random_highroller_opportunistic,3579.0
sticky_safe_alwaysnew_bandwagon,7114.2
sticky_alwaysnew_frost_bandwagon,3756.0
sticky_alwaysnew_highroller_bandwagon,3156.6
sticky_alwaysnew_bandwagon_opportunistic,3749.2
sticky_safe_alwaysnew_frost,4514.2
sticky_safe_alwaysnew_highroller,4506.2
sticky_safe_alwaysnew_opportunistic,4425.8
sticky_alwaysnew_frost_highroller,3857.6
sticky_alwaysnew_frost_opportunistic,4127.8
sticky_alwaysnew_highroller_opportunistic,3220.8
sticky_safe_frost_bandwagon,7128.6
sticky_safe_highroller_bandwagon,8862.2
sticky_safe_bandwagon_opportunistic,8840.0
sticky_frost_highroller_bandwagon,5756.0
sticky_frost_bandwagon_opportunistic,5055.2
sticky_highroller_bandwagon_opportunistic,4321.4
sticky_safe_frost_highroller,5542.2
sticky_safe_frost_opportunistic,5022.2
sticky_safe_highroller_opportunistic,5667.4
sticky_frost_highroller_opportunistic,4222.2
random_safe_alwaysnew_bandwagon,6275.6
random_alwaysnew_frost_bandwagon,1889.0
random_alwaysnew_highroller_bandwagon,1692.4
random_alwaysnew_bandwagon_opportunistic,1987.8
random_safe_alwaysnew_frost,2458.0
random_safe_alwaysnew_highroller,2924.2
random_safe_alwaysnew_opportunistic,2764.2
random_alwaysnew_frost_highroller,2251.6
random_alwaysnew_frost_opportunistic,2684.2
random_alwaysnew_highroller_opportunistic,1451.4
random_safe_frost_bandwagon,7217.2
random_safe_highroller_bandwagon,7413.6
random_safe_bandwagon_opportunistic,6563.6
random_frost_highroller_bandwagon,4166.0
random_frost_bandwagon_opportunistic,3363.4
random_highroller_bandwagon_opportunistic,2690.2
random_safe_frost_highroller,3979.8
random_safe_frost_opportunistic,3176.4
random_safe_highroller_opportunistic,3545.8
random_frost_highroller_opportunistic,3255.6
safe_alwaysnew_frost_bandwagon,5641.0
safe_alwaysnew_highroller_bandwagon,6412.0
safe_alwaysnew_bandwagon_opportunistic,3916.8
alwaysnew_frost_highroller_bandwagon,3358.8
alwaysnew_frost_bandwagon_opportunistic,3310.8
alwaysnew_highroller_bandwagon_opportunistic,2379.4
safe_alwaysnew_frost_highroller,3341.8
safe_alwaysnew_frost_opportunistic,2632.4
safe_alwaysnew_highroller_opportunistic,2934.4
alwaysnew_frost_highroller_opportunistic,2557.6
safe_frost_highroller_bandwagon,3622.2
safe_frost_bandwagon_opportunistic,4683.6
safe_highroller_bandwagon_opportunistic,2441.0
frost_highroller_bandwagon_opportunistic,3389.4
safe_frost_highroller_opportunistic,4394.0
stable_sticky_random_alwaysnew_bandwagon,6715.8
stable_sticky_random_safe_alwaysnew,6683.6
stable_sticky_random_alwaysnew_frost,4793.0
stable_sticky_random_alwaysnew_highroller,4334.2
stable_sticky_random_alwaysnew_opportunistic,6718.4
stable_sticky_random_safe_bandwagon,9958.0
stable_sticky_random_frost_bandwagon,6638.0
stable_sticky_random_highroller_bandwagon,7141.4
stable_sticky_random_bandwagon_opportunistic,7128.4
stable_sticky_random_safe_frost,7509.8
stable_sticky_random_safe_highroller,7740.6
stable_sticky_random_safe_opportunistic,7786.4
stable_sticky_random_frost_highroller,5468.8
stable_sticky_random_frost_opportunistic,5736.2
stable_sticky_random_highroller_opportunistic,5549.2
stable_sticky_safe_alwaysnew_bandwagon,9112.8
stable_sticky_alwaysnew_frost_bandwagon,6023.6
stable_sticky_alwaysnew_highroller_bandwagon,6955.6
stable_sticky_alwaysnew_bandwagon_opportunistic,6577.4
stable_sticky_safe_alwaysnew_frost,7612.6
stable_sticky_safe_alwaysnew_highroller,6871.8
stable_sticky_safe_alwaysnew_opportunistic,7578.8
stable_sticky_alwaysnew_frost_highroller,5314.8
stable_sticky_alwaysnew_frost_opportunistic,5043.8
stable_sticky_alwaysnew_highroller_opportunistic,5063.8
stable_sticky_safe_frost_bandwagon,10105.8
stable_sticky_safe_highroller_bandwagon,10161.2
stable_sticky_safe_bandwagon_opportunistic,11010.8
stable_sticky_frost_highroller_bandwagon,7918.2
stable_sticky_frost_bandwagon_opportunistic,7989.0
stable_sticky_highroller_bandwagon_opportunistic,7712.6
stable_sticky_safe_frost_highroller,8049.6
stable_sticky_safe_frost_opportunistic,8355.0
stable_sticky_safe_highroller_opportunistic,7959.0
stable_sticky_frost_highroller_opportunistic,6317.8
stable_random_safe_alwaysnew_bandwagon,7742.8
stable_random_alwaysnew_frost_bandwagon,6005.2
stable_random_alwaysnew_highroller_bandwagon,5513.6
stable_random_alwaysnew_bandwagon_opportunistic,5567.8
stable_random_safe_alwaysnew_frost,6318.4
stable_random_safe_alwaysnew_highroller,5654.4
stable_random_safe_alwaysnew_opportunistic,6563.0
stable_random_alwaysnew_frost_highroller,3929.8
stable_random_alwaysnew_frost_opportunistic,4758.6
stable_random_alwaysnew_highroller_opportunistic,3664.6
stable_random_safe_frost_bandwagon,9147.6
stable_random_safe_highroller_bandwagon,8534.2
stable_random_safe_bandwagon_opportunistic,9447.6
stable_random_frost_highroller_bandwagon,5931.6
stable_random_frost_bandwagon_opportunistic,6186.2
stable_random_highroller_bandwagon_opportunistic,5631.4
stable_random_safe_frost_highroller,6373.2
stable_random_safe_frost_opportunistic,7470.0
stable_random_safe_highroller_opportunistic,6826.0
stable_random_frost_highroller_opportunistic,4949.8
stable_safe_alwaysnew_frost_bandwagon,8621.4
stable_safe_alwaysnew_highroller_bandwagon,8074.2
stable_safe_alwaysnew_bandwagon_opportunistic,8540.6
stable_alwaysnew_frost_highroller_bandwagon,5577.0
stable_alwaysnew_frost_bandwagon_opportunistic,6209.0
stable_alwaysnew_highroller_bandwagon_opportunistic,4731.0
stable_safe_alwaysnew_frost_highroller,6124.0
stable_safe_alwaysnew_frost_opportunistic,7063.4
stable_safe_alwaysnew_highroller_opportunistic,6051.6
stable_alwaysnew_frost_highroller_opportunistic,4502.2
stable_safe_frost_highroller_bandwagon,8138.2
stable_safe_frost_bandwagon_opportunistic,9705.4
stable_safe_highroller_bandwagon_opportunistic,8512.0
stable_frost_highroller_bandwagon_opportunistic,5153.8
stable_safe_frost_highroller_opportunistic,6367.6
sticky_random_safe_alwaysnew_bandwagon,4930.8
sticky_random_alwaysnew_frost_bandwagon,3029.2
sticky_random_alwaysnew_highroller_bandwagon,2806.0
sticky_random_alwaysnew_bandwagon_opportunistic,3132.0
sticky_random_safe_alwaysnew_frost,3310.0
sticky_random_safe_alwaysnew_highroller,3345.4
sticky_random_safe_alwaysnew_opportunistic,3774.0
sticky_random_alwaysnew_frost_highroller,3126.6
sticky_random_alwaysnew_frost_opportunistic,3531.4
sticky_random_alwaysnew_highroller_opportunistic,2930.4
sticky_random_safe_frost_bandwagon,6968.0
sticky_random_safe_highroller_bandwagon,7171.2
sticky_random_safe_bandwagon_opportunistic,5996.8
sticky_random_frost_highroller_bandwagon,4908.4
sticky_random_frost_bandwagon_opportunistic,3918.4
sticky_random_highroller_bandwagon_opportunistic,3403.2
sticky_random_safe_frost_highroller,4816.4
sticky_random_safe_frost_opportunistic,4251.8
sticky_random_safe_highroller_opportunistic,4105.6
sticky_random_frost_highroller_opportunistic,3699.4
sticky_safe_alwaysnew_frost_bandwagon,5284.8
sticky_safe_alwaysnew_highroller_bandwagon,6997.2
sticky_safe_alwaysnew_bandwagon_opportunistic,5112.4
sticky_alwaysnew_frost_highroller_bandwagon,4287.8
sticky_alwaysnew_frost_bandwagon_opportunistic,4136.0
sticky_alwaysnew_highroller_bandwagon_opportunistic,2962.0
sticky_safe_alwaysnew_frost_highroller,4088.2
sticky_safe_alwaysnew_frost_opportunistic,3580.8
sticky_safe_alwaysnew_highroller_opportunistic,4263.8
sticky_alwaysnew_frost_highroller_opportunistic,3587.6
sticky_safe_frost_highroller_bandwagon,7082.6
sticky_safe_frost_bandwagon_opportunistic,5107.8
sticky_safe_highroller_bandwagon_opportunistic,5652.4
sticky_frost_highroller_bandwagon_opportunistic,4821.8
sticky_safe_frost_highroller_opportunistic,5164.6
random_safe_alwaysnew_frost_bandwagon,2939.2
random_safe_alwaysnew_highroller_bandwagon,5213.2
random_safe_alwaysnew_bandwagon_opportunistic,2925.8
random_alwaysnew_frost_highroller_bandwagon,3188.0
random_alwaysnew_frost_bandwagon_opportunistic,2770.8
random_alwaysnew_highroller_bandwagon_opportunistic,2031.0
random_safe_alwaysnew_frost_highroller,2814.4
random_safe_alwaysnew_frost_opportunistic,2294.8
random_safe_alwaysnew_highroller_opportunistic,2582.2
random_alwaysnew_frost_highroller_opportunistic,2416.0
random_safe_frost_highroller_bandwagon,4905.0
random_safe_frost_bandwagon_opportunistic,3029.8
random_safe_highroller_bandwagon_opportunistic,5056.4
random_frost_highroller_bandwagon_opportunistic,3467.4
random_safe_frost_highroller_opportunistic,3483.8
safe_alwaysnew_frost_highroller_bandwagon,4422.2
safe_alwaysnew_frost_bandwagon_opportunistic,3447.4
safe_alwaysnew_highroller_bandwagon_opportunistic,4316.0
alwaysnew_frost_highroller_bandwagon_opportunistic,2965.2
safe_alwaysnew_frost_highroller_opportunistic,3212.0
safe_frost_highroller_bandwagon_opportunistic,3311.4
stable_sticky_random_safe_alwaysnew_bandwagon,7893.0
stable_sticky_random_alwaysnew_frost_bandwagon,5501.2
stable_sticky_random_alwaysnew_highroller_bandwagon,5781.4
stable_sticky_random_alwaysnew_bandwagon_opportunistic,5924.0
stable_sticky_random_safe_alwaysnew_frost,6120.0
stable_sticky_random_safe_alwaysnew_highroller,5705.6
stable_sticky_random_safe_alwaysnew_opportunistic,7217.0
stable_sticky_random_alwaysnew_frost_highroller,4208.6
stable_sticky_random_alwaysnew_frost_opportunistic,5869.8
stable_sticky_random_alwaysnew_highroller_opportunistic,5991.0
stable_sticky_random_safe_frost_bandwagon,8693.8
stable_sticky_random_safe_highroller_bandwagon,8655.0
stable_sticky_random_safe_bandwagon_opportunistic,9188.4
stable_sticky_random_frost_highroller_bandwagon,6663.8
stable_sticky_random_frost_bandwagon_opportunistic,6514.6
stable_sticky_random_highroller_bandwagon_opportunistic,6543.2
stable_sticky_random_safe_frost_highroller,6612.2
stable_sticky_random_safe_frost_opportunistic,7636.8
stable_sticky_random_safe_highroller_opportunistic,6643.4
stable_sticky_random_frost_highroller_opportunistic,5500.4
stable_sticky_safe_alwaysnew_frost_bandwagon,8011.0
stable_sticky_safe_alwaysnew_highroller_bandwagon,8384.6
stable_sticky_safe_alwaysnew_bandwagon_opportunistic,8136.2
stable_sticky_alwaysnew_frost_highroller_bandwagon,6348.4
stable_sticky_alwaysnew_frost_bandwagon_opportunistic,6471.8
stable_sticky_alwaysnew_highroller_bandwagon_opportunistic,5167.8
stable_sticky_safe_alwaysnew_frost_highroller,6522.8
stable_sticky_safe_alwaysnew_frost_opportunistic,7031.2
stable_sticky_safe_alwaysnew_highroller_opportunistic,6286.0
stable_sticky_alwaysnew_frost_highroller_opportunistic,5212.6
stable_sticky_safe_frost_highroller_bandwagon,8966.6
stable_sticky_safe_frost_bandwagon_opportunistic,9448.0
stable_sticky_safe_highroller_bandwagon_opportunistic,8903.8
stable_sticky_frost_highroller_bandwagon_opportunistic,7056.2
stable_sticky_safe_frost_highroller_opportunistic,7077.0
stable_random_safe_alwaysnew_frost_bandwagon,7591.8
stable_random_safe_alwaysnew_highroller_bandwagon,7031.0
stable_random_safe_alwaysnew_bandwagon_opportunistic,7753.4
stable_random_alwaysnew_frost_highroller_bandwagon,4729.8
stable_random_alwaysnew_frost_bandwagon_opportunistic,4667.2
stable_random_alwaysnew_highroller_bandwagon_opportunistic,4376.2
stable_random_safe_alwaysnew_frost_highroller,5113.2
stable_random_safe_alwaysnew_frost_opportunistic,6071.6
stable_random_safe_alwaysnew_highroller_opportunistic,5180.8
stable_random_alwaysnew_frost_highroller_opportunistic,4307.2
stable_random_safe_frost_highroller_bandwagon,8191.2
stable_random_safe_frost_bandwagon_opportunistic,8526.8
stable_random_safe_highroller_bandwagon_opportunistic,7955.8
stable_random_frost_highroller_bandwagon_opportunistic,5305.4
stable_random_safe_frost_highroller_opportunistic,6211.2
stable_safe_alwaysnew_frost_highroller_bandwagon,7789.2
stable_safe_alwaysnew_frost_bandwagon_opportunistic,8043.6
stable_safe_alwaysnew_highroller_bandwagon_opportunistic,7538.8
stable_alwaysnew_frost_highroller_bandwagon_opportunistic,4612.4
stable_safe_alwaysnew_frost_highroller_opportunistic,5738.4
stable_safe_frost_highroller_bandwagon_opportunistic,8630.4
sticky_random_safe_alwaysnew_frost_bandwagon,3949.2
sticky_random_safe_alwaysnew_highroller_bandwagon,5728.6
sticky_random_safe_alwaysnew_bandwagon_opportunistic,4545.4
sticky_random_alwaysnew_frost_highroller_bandwagon,3784.0
sticky_random_alwaysnew_frost_bandwagon_opportunistic,3304.4
sticky_random_alwaysnew_highroller_bandwagon_opportunistic,2967.4
sticky_random_safe_alwaysnew_frost_highroller,3555.6
sticky_random_safe_alwaysnew_frost_opportunistic,3168.2
sticky_random_safe_alwaysnew_highroller_opportunistic,3779.0
sticky_random_alwaysnew_frost_highroller_opportunistic,3135.0
sticky_random_safe_frost_highroller_bandwagon,6726.8
sticky_random_safe_frost_bandwagon_opportunistic,5395.2
sticky_random_safe_highroller_bandwagon_opportunistic,5127.6
sticky_random_frost_highroller_bandwagon_opportunistic,4246.6
sticky_random_safe_frost_highroller_opportunistic,4421.0
sticky_safe_alwaysnew_frost_highroller_bandwagon,4728.4
sticky_safe_alwaysnew_frost_bandwagon_opportunistic,4126.6
sticky_safe_alwaysnew_highroller_bandwagon_opportunistic,5161.4
sticky_alwaysnew_frost_highroller_bandwagon_opportunistic,3890.0
sticky_safe_alwaysnew_frost_highroller_opportunistic,5388.0
sticky_safe_frost_highroller_bandwagon_opportunistic,6568.8
random_safe_alwaysnew_frost_highroller_bandwagon,4271.4
random_safe_alwaysnew_frost_bandwagon_opportunistic,5467.2
random_safe_alwaysnew_highroller_bandwagon_opportunistic,4384.6
random_alwaysnew_frost_highroller_bandwagon_opportunistic,3652.8
random_safe_alwaysnew_frost_highroller_opportunistic,4552.6
random_safe_frost_highroller_bandwagon_opportunistic,5289.2
safe_alwaysnew_frost_highroller_bandwagon_opportunistic,4147.0
stable_sticky_random_safe_alwaysnew_frost_bandwagon,6748.4
stable_sticky_random_safe_alwaysnew_highroller_bandwagon,7098.0
stable_sticky_random_safe_alwaysnew_bandwagon_opportunistic,7540.2
stable_sticky_random_alwaysnew_frost_highroller_bandwagon,4973.0
stable_sticky_random_alwaysnew_frost_bandwagon_opportunistic,5469.6
stable_sticky_random_alwaysnew_highroller_bandwagon_opportunistic,5927.4
stable_sticky_random_safe_alwaysnew_frost_highroller,5488.4
stable_sticky_random_safe_alwaysnew_frost_opportunistic,6396.4
stable_sticky_random_safe_alwaysnew_highroller_opportunistic,6476.6
stable_sticky_random_alwaysnew_frost_highroller_opportunistic,5135.8
stable_sticky_random_safe_frost_highroller_bandwagon,7251.8
stable_sticky_random_safe_frost_bandwagon_opportunistic,8217.8
stable_sticky_random_safe_highroller_bandwagon_opportunistic,7669.6
stable_sticky_random_frost_highroller_bandwagon_opportunistic,5271.6
stable_sticky_random_safe_frost_highroller_opportunistic,6336.2
stable_sticky_safe_alwaysnew_frost_highroller_bandwagon,7234.8
stable_sticky_safe_alwaysnew_frost_bandwagon_opportunistic,7277.4
stable_sticky_safe_alwaysnew_highroller_bandwagon_opportunistic,7381.4
stable_sticky_alwaysnew_frost_highroller_bandwagon_opportunistic,5940.2
stable_sticky_safe_alwaysnew_frost_highroller_opportunistic,6400.0
stable_sticky_safe_frost_highroller_bandwagon_opportunistic,8264.4
stable_random_safe_alwaysnew_frost_highroller_bandwagon,6012.6
stable_random_safe_alwaysnew_frost_bandwagon_opportunistic,6727.6
stable_random_safe_alwaysnew_highroller_bandwagon_opportunistic,6209.6
stable_random_alwaysnew_frost_highroller_bandwagon_opportunistic,4378.8
stable_random_safe_alwaysnew_frost_highroller_opportunistic,4906.8
stable_random_safe_frost_highroller_bandwagon_opportunistic,7402.0
stable_safe_alwaysnew_frost_highroller_bandwagon_opportunistic,7115.8
sticky_random_safe_alwaysnew_frost_highroller_bandwagon,3264.2
sticky_random_safe_alwaysnew_frost_bandwagon_opportunistic,6614.0
sticky_random_safe_alwaysnew_highroller_bandwagon_opportunistic,5622.6
sticky_random_alwaysnew_frost_highroller_bandwagon_opportunistic,4357.2
sticky_random_safe_alwaysnew_frost_highroller_opportunistic,4897.8
sticky_random_safe_frost_highroller_bandwagon_opportunistic,7204.8
sticky_safe_alwaysnew_frost_highroller_bandwagon_opportunistic,7012.2
random_safe_alwaysnew_frost_highroller_bandwagon_opportunistic,5806.8
stable_sticky_random_safe_alwaysnew_frost_highroller_bandwagon,5984.2
stable_sticky_random_safe_alwaysnew_frost_bandwagon_opportunistic,7449.6
stable_sticky_random_safe_alwaysnew_highroller_bandwagon_opportunistic,7043.6
stable_sticky_random_alwaysnew_frost_highroller_bandwagon_opportunistic,5815.0
stable_sticky_random_safe_alwaysnew_frost_highroller_opportunistic,6099.4
stable_sticky_random_safe_frost_highroller_bandwagon_opportunistic,8018.2
stable_sticky_safe_alwaysnew_frost_highroller_bandwagon_opportunistic,6711.0
stable_random_safe_alwaysnew_frost_highroller_bandwagon_opportunistic,6184.2
sticky_random_safe_alwaysnew_frost_highroller_bandwagon_opportunistic,5315.0
stable_sticky_random_safe_alwaysnew_frost_highroller_bandwagon_opportunistic,6607.4
